,,Accuracy,Accuracy,Macro Precision,Macro Precision,Macro Recall,Macro Recall,Macro F1,Macro F1
,,mean,std,mean,std,mean,std,mean,std
Experiment,Model,,,,,,,,
Weighted unigrams,Random Forest,0.6363417118212195,0.013053163209709739,0.6573575642350918,0.011135851772787914,0.6407962304681587,0.006229602279644647,0.6451937612633917,0.008444123368434647
Weighted unigrams,XGBoost,0.639329539343272,0.011768315310254145,0.6594764030384384,0.00876271740435487,0.6450932814223291,0.00604004153598175,0.6499776756346803,0.006681742246421935
Weighted unigrams,SVM,0.41266554779898845,0.015089671453414824,0.43971955352664843,0.016352056718279273,0.42488299271227126,0.00992728844202275,0.4145351292044236,0.011795748430795273
Weighted unigrams,Soft Voting Ensemble,0.6376331897106595,0.011696408258930056,0.6571445876179033,0.011836232003543914,0.6432010323648532,0.006464331699790191,0.647216475438148,0.009023827165859763
Weighted 1–3 grams,Random Forest,0.6397158603834822,0.026497226855273833,0.6602422609340184,0.02750523279056073,0.6463350124580488,0.02071121818918443,0.6497800758066646,0.023122200265273306
Weighted 1–3 grams,XGBoost,0.6733325077529686,0.01505824460677428,0.6935954938994673,0.013420096316114617,0.6781311668230304,0.01080699987701379,0.6835735886140112,0.011259994340257672
Weighted 1–3 grams,SVM,0.47542020047344513,0.017615897126462745,0.5112618493001264,0.015837708636149177,0.4872858777875953,0.013684627511461843,0.49018959054326894,0.014853856819799822
Weighted 1–3 grams,Soft Voting Ensemble,0.6656813669363648,0.02066537216877695,0.6849840088464755,0.021060696714067313,0.6696726250501724,0.012917922636431028,0.6744027704529435,0.016394871197627166
Unweighted 1–3 grams,Random Forest,0.6408487764875288,0.02575892611936739,0.662343071445341,0.025400098347114257,0.6466564679232831,0.020748980029383808,0.6511270548894368,0.02228478915433987
Unweighted 1–3 grams,XGBoost,0.6740488492799468,0.013377539456997389,0.6958442973688562,0.014732356736727115,0.6768895506241561,0.012888991907503648,0.6836805554560624,0.013437405257120298
Unweighted 1–3 grams,SVM,0.47828587068290523,0.02037648045696141,0.5300049166691406,0.022162739390472638,0.4754566482663175,0.01908745445490842,0.486637562097435,0.019492212194043908
Unweighted 1–3 grams,Soft Voting Ensemble,0.6678237696569177,0.016586816733914135,0.6877086520983061,0.019921338405850347,0.6707184213120834,0.013673098842071548,0.676114888836693,0.015935800838005932
