Experiment,Model,Accuracy (%),Macro Precision,Macro Recall,Macro F1
Weighted unigrams,Random Forest,63.63 ± 1.31,0.6574 ± 0.0111,0.6408 ± 0.0062,0.6452 ± 0.0084
Weighted unigrams,XGBoost,63.93 ± 1.18,0.6595 ± 0.0088,0.6451 ± 0.0060,0.6500 ± 0.0067
Weighted unigrams,SVM,41.27 ± 1.51,0.4397 ± 0.0164,0.4249 ± 0.0099,0.4145 ± 0.0118
Weighted unigrams,Soft Voting Ensemble,63.76 ± 1.17,0.6571 ± 0.0118,0.6432 ± 0.0065,0.6472 ± 0.0090
Weighted 1–3 grams,Random Forest,63.97 ± 2.65,0.6602 ± 0.0275,0.6463 ± 0.0207,0.6498 ± 0.0231
Weighted 1–3 grams,XGBoost,67.33 ± 1.51,0.6936 ± 0.0134,0.6781 ± 0.0108,0.6836 ± 0.0113
Weighted 1–3 grams,SVM,47.54 ± 1.76,0.5113 ± 0.0158,0.4873 ± 0.0137,0.4902 ± 0.0149
Weighted 1–3 grams,Soft Voting Ensemble,66.57 ± 2.07,0.6850 ± 0.0211,0.6697 ± 0.0129,0.6744 ± 0.0164
Unweighted 1–3 grams,Random Forest,64.08 ± 2.58,0.6623 ± 0.0254,0.6467 ± 0.0207,0.6511 ± 0.0223
Unweighted 1–3 grams,XGBoost,67.40 ± 1.34,0.6958 ± 0.0147,0.6769 ± 0.0129,0.6837 ± 0.0134
Unweighted 1–3 grams,SVM,47.83 ± 2.04,0.5300 ± 0.0222,0.4755 ± 0.0191,0.4866 ± 0.0195
Unweighted 1–3 grams,Soft Voting Ensemble,66.78 ± 1.66,0.6877 ± 0.0199,0.6707 ± 0.0137,0.6761 ± 0.0159
