Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Fold
Most-common-class baseline,0.116983791402396,0.0146229739252995,0.125,0.0261829652996845,1
Random Forest,0.656800563777308,0.6658180681741128,0.6514586701349747,0.6556318814433759,1
XGBoost,0.6892177589852009,0.7019393088452001,0.6777350187204316,0.6862290906426787,1
SVM,0.4869626497533474,0.5196170438212375,0.488855758302946,0.4888926631888386,1
Soft Voting Ensemble,0.6871035940803383,0.6997387127673729,0.6764940049037103,0.6836837030639437,1
Most-common-class baseline,0.1292328956461644,0.0161541119557705,0.125,0.028610771113831,2
Random Forest,0.6758811333794057,0.7032224141411743,0.677253026922652,0.6849595043499506,2
XGBoost,0.6903939184519696,0.7129693220176765,0.6956807936170216,0.7020699035545719,2
SVM,0.4892881824464409,0.5337335458071615,0.5061295211789465,0.5134756579564164,2
Soft Voting Ensemble,0.6883206634416034,0.7129458086168641,0.6893396370895732,0.6982989858100735,2
Most-common-class baseline,0.1251788268955651,0.0156473533619456,0.125,0.0278130959949141,3
Random Forest,0.6187410586552218,0.6386507643123213,0.6371431152880376,0.6339991809218585,3
XGBoost,0.6630901287553648,0.6823080520590069,0.6783319755655308,0.6789507924715543,3
SVM,0.4864091559370529,0.5031534523820385,0.4882893799177128,0.4861752234552116,3
Soft Voting Ensemble,0.6437768240343348,0.6629580607780605,0.6604404855662912,0.6584649848640943,3
Most-common-class baseline,0.125962211336599,0.0157452764170748,0.125,0.0279676817899316,4
Random Forest,0.6347095871238628,0.6593702281929026,0.6449246280311282,0.6493795185856694,4
XGBoost,0.6613016095171449,0.6828260462763753,0.6715025202527005,0.6753798731341936,4
SVM,0.4653603918824353,0.5071391259992453,0.4855544795830024,0.4901733778598748,4
Soft Voting Ensemble,0.6522043386983905,0.6684964059121332,0.6611974567592911,0.6630089614071419,4
Most-common-class baseline,0.1386138613861386,0.0173267326732673,0.125,0.0304347826086956,5
Random Forest,0.6124469589816125,0.6341498298495808,0.6208956219134519,0.6249302937324689,5
XGBoost,0.6626591230551626,0.6879347402990774,0.6674055259594678,0.6752382832670574,5
SVM,0.4490806223479491,0.4926660784909495,0.4676002499553689,0.4722310302560032,5
Soft Voting Ensemble,0.657001414427157,0.6807810561579468,0.6608915409319964,0.668557217119464,5
