Fold,Model,Accuracy,Macro Precision,Macro Recall,Macro F1
1,Random Forest,0.6511627906976745,0.6625121423292015,0.6407787276401385,0.6483168686203201
1,XGBoost,0.6539816772374912,0.6663914253293182,0.64537602286874,0.652695397478438
1,SVM,0.4298801973220578,0.453694362196247,0.4313027928447268,0.4201955674744548
1,Soft Voting Ensemble,0.649753347427766,0.6623880643557061,0.6411224088557226,0.6483074011219785
1,Most-common-class baseline,0.116983791402396,0.0146229739252995,0.125,0.0261829652996845
2,Random Forest,0.6496199032480995,0.6745245805381407,0.6515755356962591,0.6586201966325786
2,XGBoost,0.6475466482377332,0.6699706951266107,0.6531064225162249,0.6587027088833579
2,SVM,0.4160331720801659,0.4486044933750103,0.4323641493817911,0.4218565974084081
2,Soft Voting Ensemble,0.6399447131997236,0.6675625842543123,0.6448017918387994,0.6520405125362458
2,Most-common-class baseline,0.1292328956461644,0.0161541119557705,0.125,0.028610771113831
3,Random Forest,0.6251788268955651,0.6521543096809541,0.6375552979440215,0.6400911217521567
3,XGBoost,0.6301859799713877,0.6497366840075204,0.6438728073432287,0.64478273502768
3,SVM,0.4148783977110157,0.4305451862580659,0.4195735934321578,0.4081209212502008
3,Soft Voting Ensemble,0.6201716738197425,0.6382259033592546,0.6343062718749664,0.6328374760308291
3,Most-common-class baseline,0.1251788268955651,0.0156473533619456,0.125,0.0278130959949141
4,Random Forest,0.6249125262421273,0.6480368113243884,0.6373912285261435,0.6381217576598304
4,XGBoost,0.6256123163051085,0.6521117546369462,0.6363059212656139,0.6419260153671328
4,SVM,0.4142757172848145,0.4504482566637126,0.4313558149131297,0.4255377223025142
4,Soft Voting Ensemble,0.6326102169349195,0.6532443810494152,0.6435729836493828,0.6460318161643459
4,Most-common-class baseline,0.125962211336599,0.0157452764170748,0.125,0.0279676817899316
5,Random Forest,0.6308345120226309,0.6495599773027743,0.6366803625342308,0.6408188616520726
5,XGBoost,0.6393210749646393,0.6591714560917965,0.6468052331178384,0.6517815214167932
5,SVM,0.3882602545968883,0.4153054691402065,0.4098186129895511,0.3969648375865398
5,Soft Voting Ensemble,0.6456859971711457,0.6643020050708286,0.6522017056053945,0.6568651713373401
5,Most-common-class baseline,0.1386138613861386,0.0173267326732673,0.125,0.0304347826086956
