Split,Fold,Model,Accuracy,Macro Precision,Macro Recall,Macro F1
Grouped,1,Random Forest,0.656800563777308,0.6658180681741128,0.6514586701349747,0.6556318814433759
Grouped,2,Random Forest,0.6758811333794057,0.7032224141411743,0.677253026922652,0.6849595043499506
Grouped,3,Random Forest,0.6187410586552218,0.6386507643123213,0.6371431152880376,0.6339991809218585
Grouped,4,Random Forest,0.6347095871238628,0.6593702281929026,0.6449246280311282,0.6493795185856694
Grouped,5,Random Forest,0.6124469589816125,0.6341498298495808,0.6208956219134519,0.6249302937324689
Ordinary,1,Random Forest,0.679324894514768,0.7010591703620207,0.6843232128879904,0.6895476354192698
Ordinary,2,Random Forest,0.6547116736990155,0.6784910600131862,0.6605820470465851,0.6659572215908076
Ordinary,3,Random Forest,0.6586910626319493,0.6780715528708388,0.6673358119096509,0.6705074304349165
Ordinary,4,Random Forest,0.6537649542575651,0.6717406813834377,0.669644378328871,0.6690972738260164
Ordinary,5,Random Forest,0.6650246305418719,0.6820818981549487,0.6704333881025648,0.6740225344062438
