Split,Fold,Partition,Class,Samples
Ordinary,1,Train,Adware,304
Ordinary,1,Train,Backdoor,801
Ordinary,1,Train,Downloader,801
Ordinary,1,Train,Dropper,712
Ordinary,1,Train,Spyware,665
Ordinary,1,Train,Trojan,800
Ordinary,1,Train,Virus,801
Ordinary,1,Train,Worms,801
Ordinary,1,Test,Adware,75
Ordinary,1,Test,Backdoor,200
Ordinary,1,Test,Downloader,200
Ordinary,1,Test,Dropper,179
Ordinary,1,Test,Spyware,167
Ordinary,1,Test,Trojan,201
Ordinary,1,Test,Virus,200
Ordinary,1,Test,Worms,200
Grouped,1,Train,Adware,309
Grouped,1,Train,Backdoor,835
Grouped,1,Train,Downloader,762
Grouped,1,Train,Dropper,704
Grouped,1,Train,Spyware,681
Grouped,1,Train,Trojan,819
Grouped,1,Train,Virus,780
Grouped,1,Train,Worms,798
Grouped,1,Test,Adware,70
Grouped,1,Test,Backdoor,166
Grouped,1,Test,Downloader,239
Grouped,1,Test,Dropper,187
Grouped,1,Test,Spyware,151
Grouped,1,Test,Trojan,182
Grouped,1,Test,Virus,221
Grouped,1,Test,Worms,203
Ordinary,2,Train,Adware,303
Ordinary,2,Train,Backdoor,800
Ordinary,2,Train,Downloader,801
Ordinary,2,Train,Dropper,713
Ordinary,2,Train,Spyware,666
Ordinary,2,Train,Trojan,801
Ordinary,2,Train,Virus,800
Ordinary,2,Train,Worms,801
Ordinary,2,Test,Adware,76
Ordinary,2,Test,Backdoor,201
Ordinary,2,Test,Downloader,200
Ordinary,2,Test,Dropper,178
Ordinary,2,Test,Spyware,166
Ordinary,2,Test,Trojan,200
Ordinary,2,Test,Virus,201
Ordinary,2,Test,Worms,200
Grouped,2,Train,Adware,306
Grouped,2,Train,Backdoor,792
Grouped,2,Train,Downloader,814
Grouped,2,Train,Dropper,725
Grouped,2,Train,Spyware,655
Grouped,2,Train,Trojan,809
Grouped,2,Train,Virus,783
Grouped,2,Train,Worms,776
Grouped,2,Test,Adware,73
Grouped,2,Test,Backdoor,209
Grouped,2,Test,Downloader,187
Grouped,2,Test,Dropper,166
Grouped,2,Test,Spyware,177
Grouped,2,Test,Trojan,192
Grouped,2,Test,Virus,218
Grouped,2,Test,Worms,225
Ordinary,3,Train,Adware,303
Ordinary,3,Train,Backdoor,801
Ordinary,3,Train,Downloader,800
Ordinary,3,Train,Dropper,713
Ordinary,3,Train,Spyware,666
Ordinary,3,Train,Trojan,801
Ordinary,3,Train,Virus,801
Ordinary,3,Train,Worms,801
Ordinary,3,Test,Adware,76
Ordinary,3,Test,Backdoor,200
Ordinary,3,Test,Downloader,201
Ordinary,3,Test,Dropper,178
Ordinary,3,Test,Spyware,166
Ordinary,3,Test,Trojan,200
Ordinary,3,Test,Virus,200
Ordinary,3,Test,Worms,200
Grouped,3,Train,Adware,326
Grouped,3,Train,Backdoor,780
Grouped,3,Train,Downloader,817
Grouped,3,Train,Dropper,698
Grouped,3,Train,Spyware,642
Grouped,3,Train,Trojan,805
Grouped,3,Train,Virus,815
Grouped,3,Train,Worms,826
Grouped,3,Test,Adware,53
Grouped,3,Test,Backdoor,221
Grouped,3,Test,Downloader,184
Grouped,3,Test,Dropper,193
Grouped,3,Test,Spyware,190
Grouped,3,Test,Trojan,196
Grouped,3,Test,Virus,186
Grouped,3,Test,Worms,175
Ordinary,4,Train,Adware,303
Ordinary,4,Train,Backdoor,801
Ordinary,4,Train,Downloader,801
Ordinary,4,Train,Dropper,713
Ordinary,4,Train,Spyware,666
Ordinary,4,Train,Trojan,801
Ordinary,4,Train,Virus,801
Ordinary,4,Train,Worms,800
Ordinary,4,Test,Adware,76
Ordinary,4,Test,Backdoor,200
Ordinary,4,Test,Downloader,200
Ordinary,4,Test,Dropper,178
Ordinary,4,Test,Spyware,166
Ordinary,4,Test,Trojan,200
Ordinary,4,Test,Virus,200
Ordinary,4,Test,Worms,201
Grouped,4,Train,Adware,272
Grouped,4,Train,Backdoor,801
Grouped,4,Train,Downloader,806
Grouped,4,Train,Dropper,717
Grouped,4,Train,Spyware,674
Grouped,4,Train,Trojan,776
Grouped,4,Train,Virus,821
Grouped,4,Train,Worms,811
Grouped,4,Test,Adware,107
Grouped,4,Test,Backdoor,200
Grouped,4,Test,Downloader,195
Grouped,4,Test,Dropper,174
Grouped,4,Test,Spyware,158
Grouped,4,Test,Trojan,225
Grouped,4,Test,Virus,180
Grouped,4,Test,Worms,190
Ordinary,5,Train,Adware,303
Ordinary,5,Train,Backdoor,801
Ordinary,5,Train,Downloader,801
Ordinary,5,Train,Dropper,713
Ordinary,5,Train,Spyware,665
Ordinary,5,Train,Trojan,801
Ordinary,5,Train,Virus,801
Ordinary,5,Train,Worms,801
Ordinary,5,Test,Adware,76
Ordinary,5,Test,Backdoor,200
Ordinary,5,Test,Downloader,200
Ordinary,5,Test,Dropper,178
Ordinary,5,Test,Spyware,167
Ordinary,5,Test,Trojan,200
Ordinary,5,Test,Virus,200
Ordinary,5,Test,Worms,200
Grouped,5,Train,Adware,303
Grouped,5,Train,Backdoor,796
Grouped,5,Train,Downloader,805
Grouped,5,Train,Dropper,720
Grouped,5,Train,Spyware,676
Grouped,5,Train,Trojan,795
Grouped,5,Train,Virus,805
Grouped,5,Train,Worms,793
Grouped,5,Test,Adware,76
Grouped,5,Test,Backdoor,205
Grouped,5,Test,Downloader,196
Grouped,5,Test,Dropper,171
Grouped,5,Test,Spyware,156
Grouped,5,Test,Trojan,206
Grouped,5,Test,Virus,196
Grouped,5,Test,Worms,208
